experiment,time,CO2_ppm,A_zsat,I_zsat,P_zsat,A_zcc,I_zcc,P_zcc,A_deep_CO3,I_deep_CO3,P_deep_CO3,A_deep_DIC,I_deep_DIC,P_deep_DIC,A_deep_TA,I_deep_TA,P_deep_TA,H_DIC,H_TA,deep temperature,surface temperature,high-deep mixing (Atlantic),high-deep mixing (Indian),high-deep mixing (Pacific),thermohaline circulation:,thermohaline upwelling (Atlantic),thermohaline upwelling (Indian),high-lat PO4 export constant
control,4500.0,280.1061973695538,4672,3473,2936,4911,3756,3445,105.58831345553249,83.37661272929664,75.01805151065646,2208.49162075479,2287.80572186409,2342.8866078872284,2343.6319924967725,2379.7681721437407,2416.087562774916,2140.994755582993,2323.6589817100253,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4600.0,280.1071886691238,4672,3473,2936,4911,3756,3445,105.58785310635672,83.37658791651387,75.01760546265248,2208.490580741579,2287.805311551324,2342.8853062327257,2343.630213284996,2379.7677326069384,2416.085435831475,2140.9936565702747,2323.657044403823,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4700.0,280.1080473369846,4672,3473,2936,4911,3756,3445,105.58741308184874,83.37795790364572,75.01729410952004,2208.489639930214,2287.8074674049626,2342.8842978980174,2343.628563812165,2379.7723799993364,2416.0838577026607,2140.993018886831,2323.6557548808323,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4800.0,280.10883207211225,4672,3473,2936,4911,3756,3445,105.58699003698176,83.37829581124996,75.01703227464698,2208.488750161689,2287.8077730840846,2342.88340892558,2343.62699206188,2379.7732927905427,2416.082490608217,2140.992261529548,2323.654360560486,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,4900.0,280.10951971192463,4672,3473,2936,4911,3756,3445,105.58659386074451,83.37904292206201,75.01684136991067,2208.487940182355,2287.8088662306563,2342.8826851918047,2343.6255424937217,2379.7757437200707,2416.0814224352093,2140.991690307392,2323.65325436329,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5000.0,280.1102938641765,4672,3473,2936,4911,3756,3445,105.58618522333896,83.37693590813245,75.01652303393085,2208.4870220244334,2287.804784061349,2342.881711764021,2343.623967934432,2379.7678558306297,2416.079859852872,2140.9903351212133,2323.6511334848906,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5100.0,280.1112758136984,4672,3472,2936,4911,3755,3445,105.58572594551238,83.37317904497337,75.01598310481823,2208.485852815195,2287.797695561744,2342.8802813887223,2343.6220667210514,2379.754018160516,2416.077419422565,2140.988210280398,2323.6479503564897,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5200.0,280.11242244027966,4672,3472,2936,4911,3755,3445,105.58521175265524,83.3702987643008,75.01530677641931,2208.4844607571245,2287.792139354219,2342.8785573884,2343.619858830672,2379.7433213724826,2416.0744289713334,2140.985957167316,2323.64451903446,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5300.0,280.1136910550191,4672,3472,2936,4911,3755,3445,105.58464529491862,83.36806341493045,75.01455313985781,2208.482888720981,2287.7876649782,2342.87665369294,2343.617389821077,2379.734864492124,2416.071114309999,2140.983671594219,2323.6409774870413,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5400.0,280.115046251085,4672,3472,2936,4911,3755,3445,105.58403264294547,83.36629080159658,75.01376177283943,2208.48118053231,2287.7839536071483,2342.874648471917,2343.614711959023,2379.728001929685,2416.0676283986927,2140.9814015429097,2323.637403509304,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
