,Ocean_DIC_[mmol],Ocean_C^{12$S,Ocean_C^{13}$S ,Ocean_$\delta^{13}$C [VPDB],Fossil_Fuel_Burning_to_Ocean_DIC_[mmol/yr],Fossil_Fuel_Burning_to_Ocean_DIC_C^{12$S,Fossil_Fuel_Burning_to_Ocean_DIC_C^{13}$S,"Fossil_Fuel_Burning_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Carbonate_Weathering_to_Ocean_DIC_[mmol/yr],Carbonate_Weathering_to_Ocean_DIC_C^{12$S,Carbonate_Weathering_to_Ocean_DIC_C^{13}$S,"Carbonate_Weathering_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Organic_Weathering_to_Ocean_DIC_[mmol/yr],Organic_Weathering_to_Ocean_DIC_C^{12$S,Organic_Weathering_to_Ocean_DIC_C^{13}$S,"Organic_Weathering_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Volcanic_to_Ocean_DIC_[mmol/yr],Volcanic_to_Ocean_DIC_C^{12$S,Volcanic_to_Ocean_DIC_C^{13}$S,"Volcanic_to_Ocean_DIC_$\delta^{13}$C, [VPDB]",Ocean_to_OM_burial_DIC_[mmol/yr],Ocean_to_OM_burial_DIC_C^{12$S,Ocean_to_OM_burial_DIC_C^{13}$S,"Ocean_to_OM_burial_DIC_$\delta^{13}$C, [VPDB]",Ocean_to_Carbonate_burial_DIC_[mmol/yr],Ocean_to_Carbonate_burial_DIC_C^{12$S,Ocean_to_Carbonate_burial_DIC_C^{13}$S,"Ocean_to_Carbonate_burial_DIC_$\delta^{13}$C, [VPDB]"
47,3.531445e+18,3.492214770214518e+18,3.923022978548214e+16,-0.31817447169103463,1283333333333333.2,1269453389449366.5,13879943883966.57,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154557571714.2915,45442428285.70837,-26.628472371502255,18100000000000.0,17898866853395.027,201133146604.9706,0.0
48,3.532745e+18,3.493500709990809e+18,3.924429000919057e+16,-0.32799537948467977,1300000000000000.0,1285939797104553.2,14060202895446.658,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154558019761.9224,45441980238.0776,-26.63817447169088,18100000000000.0,17898866853395.027,201133146604.9706,0.0
49,3.5340616666666665e+18,3.494803136174302e+18,3.925853049236401e+16,-0.33793482460597885,1316666666666666.5,1302426204759739.8,14240461906926.74,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154558473296.2437,45441526703.75633,-26.64799537948468,18100000000000.0,17898866853395.027,201133146604.9706,0.0
50,3.535395e+18,3.4961220487649915e+18,3.927295123500794e+16,-0.34799253382409767,1333333333333333.2,1318912612414926.2,14420720918406.826,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154558932304.7773,45441067695.222534,-26.65793482460598,18100000000000.0,17898866853395.027,201133146604.9706,0.0
51,3.536745e+18,3.497457447762872e+18,3.9287552237127816e+16,-0.35816823097325706,1350000000000000.0,1335399020070113.0,14600979929886.914,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154559396774.9097,45440603225.09052,-26.667992533823945,18100000000000.0,17898866853395.027,201133146604.9706,0.0
52,3.5381116666666665e+18,3.498809333167937e+18,3.9302333498729096e+16,-0.36846163697110357,1366666666666666.5,1351885427725299.5,14781238941366.996,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154559866693.8896,45440133306.11008,-26.678168230973256,18100000000000.0,17898866853395.027,201133146604.9706,0.0
53,3.539495e+18,3.500177704980182e+18,3.931729501981721e+16,-0.37887246983816014,1383333333333333.2,1368371835380486.0,14961497952847.082,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154560342048.834,45439657951.16571,-26.688461636971105,18100000000000.0,17898866853395.027,201133146604.9706,0.0
54,3.540895e+18,3.5015625631996017e+18,3.933243680039758e+16,-0.3894004447154249,1400000000000000.0,1384858243035672.8,15141756964327.17,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154560822826.724,45439177173.27563,-26.698872469838314,18100000000000.0,17898866853395.027,201133146604.9706,0.0
55,3.5423116666666665e+18,3.5029639078261903e+18,3.9347758840475624e+16,-0.40004527388459393,1416666666666666.5,1401344650690859.2,15322015975807.252,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154561309014.4087,45438690985.59104,-26.709400444715424,18100000000000.0,17898866853395.027,201133146604.9706,0.0
56,3.543745e+18,3.5043817388599424e+18,3.936326114005673e+16,-0.4108066667864318,1433333333333333.2,1417831058346045.8,15502274987287.338,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-19.999999999999908,6000000000000.0,5933655712408.382,66344287591.61808,-5.0000000000001315,4200000000000.0,4154561800598.605,45438199401.395134,-26.720045273884594,18100000000000.0,17898866853395.027,201133146604.9706,0.0
